"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"000649840X";20;7.5;2.14;10;2;8
"002542730X";37;8.14;1.65;10;5;8
"006000438X";16;7.94;1.73;10;5;8
"006001203X";13;8.08;1.75;10;5;8
"006016848X";34;6.91;1.6;10;5;7
"006019491X";20;8.2;1.4;10;5;8
"006092988X";18;9.33;0.91;10;7;10
"006098824X";17;7.65;1.32;10;5;8
"006099486X";27;7.89;1.15;10;5;8
"006101351X";57;7.4;1.84;10;4;8
"006109868X";9;9.11;0.93;10;8;9
"006109921X";11;8.18;1.4;10;6;8
"014017737X";10;8.2;1.23;10;6;8
"014023313X";31;7.55;1.86;10;3;8
"014023828X";14;7.36;1.69;10;3;7.5
"014025448X";49;7.86;1.81;10;1;8
"014028009X";75;7.55;1.97;10;1;8
"014029628X";34;7.68;1.15;9;4;8
"014034294X";14;8.5;1.83;10;5;9
"014038572X";21;8.05;1.75;10;5;8
"014100018X";31;7.94;1.44;10;5;8
"014131088X";23;8.09;2.04;10;2;9
"015100692X";21;7.38;2.01;10;3;8
"015600710X";12;9.08;1.08;10;7;9.5
"015602943X";17;8.53;1.59;10;5;9
"031205436X";18;7.28;1.96;10;1;8
"031242227X";43;7.49;1.91;10;3;8
"031298328X";29;6.69;2.11;10;1;6
"034536676X";26;8.46;1.3;10;5;8.5
"034538184X";13;7.31;1.44;9;5;8
"034538430X";10;6.7;3.13;10;1;7.5
"034538475X";52;7.12;1.72;10;3;7
"034539657X";16;7.5;1.79;10;5;7.5
"034540288X";45;7.18;1.67;10;3;7
"034540761X";18;6.83;1.47;9;5;6.5
"034541389X";27;8.04;1.32;10;5;8
"034543479X";14;7.57;1.34;10;5;7.5
"034545104X";14;6.14;2.18;9;3;5.5
"037541309X";12;8;0.95;10;7;8
"037570485X";13;7.54;1.61;10;4;8
"037570504X";20;7;1.69;10;4;7
"037570910X";14;7.71;2.13;10;3;7.5
"037582233X";15;8.33;1.29;10;6;8
"038000321X";13;8.77;1.01;10;7;9
"038001503X";6;9.83;0.41;10;9;10
"038079487X";48;7.38;1.41;10;5;8
