"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"000649840X";11;6.82;2.48;10;2;8
"002542730X";42;7.83;1.67;10;5;8
"006000438X";15;7.93;1.53;10;6;8
"006001203X";13;7.31;2.02;10;5;8
"006016848X";29;7.1;1.65;10;5;7
"006019491X";19;8.11;1.45;10;5;8
"006092988X";16;9.44;0.89;10;7;10
"006098824X";17;7.88;1.11;10;6;8
"006099486X";30;7.67;1.27;9;5;8
"006101351X";54;7.35;1.88;10;4;8
"006109868X";12;8.75;1.06;10;7;8.5
"006109921X";11;8.18;1.54;10;6;8
"014017737X";12;8;1.48;10;5;8
"014023313X";33;7.52;1.97;10;3;8
"014023828X";17;7.94;1.2;10;6;8
"014025448X";51;7.8;1.98;10;1;8
"014028009X";78;7.83;1.92;10;1;8
"014029628X";40;7.9;1.28;10;4;8
"014034294X";17;8.53;1.7;10;5;9
"014038572X";24;8.17;1.58;10;5;8
"014100018X";31;7.97;1.38;10;5;8
"014131088X";22;8.45;1.6;10;5;9
"015100692X";24;7.5;1.98;10;3;8
"015600710X";13;8.77;1.48;10;5;9
"015602943X";17;8.76;1.35;10;5;9
"031205436X";17;7.06;2.22;10;1;7
"031242227X";42;7.62;2.05;10;3;8
"031298328X";25;6.96;2.09;10;1;7
"034536676X";24;8.38;1.28;10;5;8
"034538184X";12;6.92;1.68;9;4;8
"034538430X";13;7.69;2.36;10;2;8
"034538475X";51;7.25;1.82;10;2;7
"034539657X";14;7.79;1.58;10;5;8
"034540288X";58;7.33;1.6;10;3;7
"034540761X";16;6.62;1.2;9;5;6.5
"034541389X";30;7.7;1.53;10;5;8
"034543479X";20;7.35;1.39;10;4;7
"034545104X";11;6.73;1.9;9;4;6
"037541309X";14;8.43;1.02;10;7;8.5
"037570485X";11;7.27;1.62;10;4;7
"037570504X";26;7.15;1.83;10;3;7
"037570910X";10;7.9;2.28;10;3;8
"037582233X";13;8.54;1.33;10;6;9
"038000321X";16;8.56;1.09;10;7;8.5
"038001503X";8;9.12;1.46;10;6;10
"038079487X";50;7.52;1.39;10;5;8
"038082101X";24;7.75;1.45;10;4;8
"038529929X";28;7;2.33;10;2;7.5
"038531258X";15;8.13;1.64;10;5;8
"038531292X";13;6.77;2.17;10;3;7
"038531700X";9;7.78;1.92;10;4;9
"038533334X";27;6.7;1.73;10;4;7
"038533348X";10;8.1;0.99;9;6;8
"038533558X";14;9;0.88;10;8;9
"038533656X";13;6.08;1.93;9;3;6
"038542017X";29;8;1.56;10;4;8
"038542471X";22;7.68;1.04;10;6;8
"038548951X";20;8.85;0.99;10;7;9
"038549081X";31;8.55;1.31;10;6;9
"038550120X";41;7.71;2.06;10;1;8
"038550926X";29;7.17;1.44;10;5;7
"038572179X";34;7.32;1.7;10;3;8
"039304016X";13;8.62;1.12;10;7;8
"039480001X";17;9.24;1.44;10;5;10
"039592720X";29;8.66;1.54;10;4;9
"039914465X";10;6.7;2.11;9;2;7.5
"039914563X";10;7.3;1.95;10;5;7.5
"039914613X";11;7.55;1.92;10;5;8
"039914739X";12;5.17;2.21;9;2;5
"039914840X";14;8.36;1.74;10;5;8.5
"039915079X";13;7.08;1.44;10;5;7
"042510107X";27;7.59;1.8;10;3;8
"042510687X";12;7.17;1.64;10;5;7.5
"042511774X";21;7.62;2.06;10;2;8
"042513525X";26;7.69;1.76;10;4;8
"042513699X";15;7.33;1.18;9;5;8
"042516098X";32;6.62;1.83;9;1;7
"042517736X";16;6.75;1.84;10;2;7
"042518109X";7;8.29;0.95;9;7;9
"042518286X";17;7.65;1.58;10;5;8
"042518630X";19;7.37;2.24;10;2;7
"043935806X";121;8.99;1.35;10;4;10
"043936213X";21;9.43;1.08;10;6;10
"044020562X";10;8.1;1.91;10;5;8.5
"044021145X";116;7.84;1.7;10;1;8
"044022103X";31;7.32;1.68;10;4;8
"044022165X";73;7.53;1.73;10;3;8
"044022425X";24;8.88;1.42;10;5;9
"044023722X";116;7.37;1.89;10;1;8
"044048474X";14;8.64;1.15;10;7;9
"044651652X";74;7.47;2.21;10;1;8
"044651862X";44;7.45;2.14;10;2;8
"044652087X";14;8;1.62;10;5;8
"044661064X";14;7.93;1.69;10;5;8
"044661095X";12;6;2.26;10;2;5.5
"044661162X";19;7;1.63;9;3;7
"044661193X";21;7.71;1.23;10;5;8
"044900371X";24;8.08;1.77;10;4;8
"044922046X";18;7.78;1.77;10;5;7.5
"048627263X";6;7.67;1.21;9;6;7.5
"051510566X";10;6.6;1.9;9;3;7
"051511779X";22;8.18;1.56;10;5;8
"051511992X";22;7.95;1.46;10;5;8
"051512219X";14;7.14;2.25;10;3;8
"051512317X";21;7.86;1.9;10;3;8
"051512608X";20;6.9;2.02;10;3;7
"051513287X";51;8.08;1.85;10;4;9
"051513628X";26;7.96;1.73;10;5;8
"052594527X";11;8.91;1.3;10;7;9
"055321313X";37;8.92;1.64;10;2;9
"055321330X";13;7.69;1.6;10;4;8
"055328942X";15;7.2;2.76;10;3;8
"055337933X";10;7.9;1.97;10;5;8.5
"055356160X";22;7.82;1.53;10;5;8
"055356451X";23;7.7;1.74;10;4;8
"055356773X";8;7.62;1.3;9;6;7.5
"055357227X";13;7.08;2.1;9;3;8
"055357230X";19;7.16;1.68;10;5;7
"055357258X";21;8.1;1.58;10;5;8
"055358264X";12;7.5;1.45;10;5;8
"059030271X";14;7.79;2.12;10;5;8
"059035342X";150;9.05;1.35;10;2;10
"060980619X";12;8.25;2.01;10;3;8.5
"067088300X";35;7.03;1.52;10;2;7
"067100042X";16;7.69;1.66;10;5;7.5
"067101420X";25;7.04;1.97;10;4;7
"067102423X";34;7.85;1.71;10;5;8
"067102535X";12;7.42;1.24;10;6;7
"067103619X";11;7.09;1.51;9;5;7
"067164257X";17;7.82;2.16;10;3;8
"067168390X";19;9.37;0.68;10;8;9
"067169507X";16;7.62;1.82;10;5;7.5
"067172262X";11;8.91;1.38;10;7;10
"067976397X";16;8.12;1.59;10;5;8
"067976402X";116;7.61;2.1;10;1;8
"068483376X";20;8.35;2.18;10;1;9
"068484267X";51;8.27;1.9;10;2;9
"068484477X";56;8.18;1.18;10;5;8
"068487217X";11;8.45;1.57;10;5;9
"074322423X";9;8.22;2.22;10;3;9
"074322535X";21;7.33;2.08;10;1;8
"074343627X";30;7.63;2.2;10;1;8
"076790382X";20;8.05;1.73;10;4;8
"076790592X";17;8.82;1.13;10;7;9
"080213825X";22;5.82;2.3;10;1;5
"080410526X";50;8.12;1.44;10;5;8
"080410753X";52;8;1.31;10;5;8
"080411109X";45;7.87;1.69;10;2;8
"080411868X";25;7.96;1.74;10;4;8
"080411918X";17;7;1.66;9;4;7
"080411935X";23;7.91;1.59;10;4;8
"081297106X";18;9;1.08;10;6;9
"084232920X";15;8.27;1.75;10;5;9
"084233226X";21;8.05;1.6;10;5;8
"089480829X";33;8.33;1.61;10;5;9
"140003065X";23;8.48;1.83;10;1;9
"1400031346";24;8.29;1.4;10;5;8
"1400031354";50;8.5;1.34;10;5;9
"1400031362";29;8.69;1.07;10;6;9
"140003180X";20;8.3;1.13;10;7;8
"1400032717";27;8.26;1.26;10;6;8
"1400033543";12;7.67;1.07;9;5;8
"1400034779";97;8.15;1.51;10;4;8
"140039589";10;7.4;2.07;10;3;8
"140042393";14;8.57;1.83;10;5;9.5
"140042520";8;8.5;2.07;10;4;9
"140042598";25;7.72;2.28;10;3;8
"140053204";18;8.22;2.13;10;2;9
"140067477";58;8.09;1.9;10;2;8
"140067779";16;8.19;1.28;10;6;8
"140077022";11;7.64;2.01;10;4;8
"140092323";14;7.21;1.48;9;4;7
"140119906";30;7.93;1.44;10;5;8
"140131558";9;7;1.87;10;5;7
"140143505";16;9.62;0.5;10;9;10
"140177396";18;8.22;1.63;10;5;8
"140179836";21;7.86;1.65;10;3;8
"140185216";13;7.77;1.69;10;6;7
"140186409";13;7.85;2.38;10;3;8
"140230165";13;7.85;1.86;10;4;8
"140244824";36;6.75;1.78;10;3;7
"140254544";26;8.46;1.48;10;4;8.5
"140257934";18;7.78;1.56;10;6;7.5
"140258795";13;7.92;1.44;10;5;8
"140265686";14;8.21;1.67;10;5;8
"140270590";10;8.2;1.48;10;6;8
"140276904";13;6.46;2.26;9;1;8
"140280553";20;7.5;1.67;10;5;7.5
"140282033";12;8.17;1.8;10;5;8
"140293248";81;6.7;1.94;10;2;7
"140296298";12;7.75;2.09;10;4;8
"140298479";62;7.81;1.76;10;3;8
"140374248";13;8.69;1.44;10;6;9
"140386335";15;9;1.41;10;5;9
"140386645";17;8.18;1.63;10;4;8
"140430725";20;8.45;1.88;10;3;9
"140440046";18;7.83;2.07;10;4;8
"140481346";11;5.36;2.54;10;1;5
"140481389";17;7.88;1.62;10;5;8
"140620222";12;9.25;0.87;10;8;9.5
"140620338";14;7.93;1.38;10;6;8
"140620427";12;8.25;1.48;10;5;8
"141000198";37;7.51;1.98;10;1;8
"141007338";11;8;0.89;10;7;8
"141301155";11;8.36;1.75;10;4;9
"142000205";59;7.63;1.65;10;3;8
"142000663";19;9.21;0.98;10;7;10
"142001430";50;8.32;1.3;10;6;8.5
"142001740";155;8.55;1.58;10;2;9
"142001805";31;8.48;1.57;10;3;9
"142001821";14;7.64;1.39;10;4;8
"142002267";21;8.1;1.14;10;5;8
"142003727";17;8.12;0.99;10;7;8
"142004235";32;8.88;1.84;10;1;9.5
"151002290";10;7.7;1.57;10;5;7.5
"151008116";44;8.39;1.4;10;5;9
"1550548913";11;8.18;0.98;10;7;8
"1551665301";12;7.83;1.64;10;5;8
"155166674X";11;8.09;1.51;10;6;8
"1551666839";17;7.59;1.94;10;4;8
"1551668653";14;7.43;2.38;10;2;8
"1551668912";14;8.36;1.69;10;5;9
"1551668998";19;8.47;1.12;10;7;8
"1558531025";19;8.11;1.76;10;4;8
"155874262X";55;7.56;2.1;10;2;8
"1558743316";16;7.38;2.31;10;1;7.5
"1558743669";63;8.06;1.95;10;1;9
"1558744150";41;7.9;1.45;10;5;8
"155874424X";10;8.2;1.48;10;5;8
"1558744592";13;8.23;1.69;10;5;8
"1558744606";12;7.92;1.62;10;5;8
"1558744630";20;7.4;2.26;10;2;8
"1558745017";15;8.53;1.85;10;5;10
"1558745157";43;7.98;1.74;10;4;8
"1558745718";28;8.07;1.65;10;5;8
"1558746161";14;7.36;2.41;10;3;7.5
"1558746226";13;8;1.78;10;5;8
"1558747109";12;7.83;2.21;10;5;8.5
"1559029838";26;7.81;1.63;10;4;8
"156001314";14;8.36;2.1;10;2;9
"156005891";15;7.87;1.46;10;5;8
"156006529";12;7.58;1.44;10;4;8
"156007479";15;7.53;1.36;10;5;8
