"User.ID";"nb.Ratings";"mean";"sd";"max";"min";"med"
99;1;10;NA;10;10;10
114;3;9.33;0.58;10;9;9
242;1;10;NA;10;10;10
243;12;7.67;1.67;10;5;7
244;7;7.57;1.27;9;6;8
254;14;8.71;0.73;10;7;9
383;1;5;NA;5;5;5
388;4;7.5;1.73;10;6;7
424;3;7;1;8;6;7
446;2;5.5;3.54;8;3;5.5
487;3;6.67;0.58;7;6;7
503;3;10;0;10;10;10
505;1;7;NA;7;7;7
507;6;7.83;1.33;10;7;7
595;3;9.33;0.58;10;9;9
638;20;9.3;0.92;10;7;9.5
643;4;6.25;2.87;8;2;7.5
709;3;6.67;3.51;10;3;7
735;2;6.5;3.54;9;4;6.5
805;11;8.73;1.19;10;7;9
834;1;7;NA;7;7;7
853;1;8;NA;8;8;8
882;12;8.83;2.04;10;4;10
900;1;9;NA;9;9;9
901;1;9;NA;9;9;9
929;4;7.5;1.91;10;6;7
1025;6;8.17;1.72;10;5;8.5
1063;1;5;NA;5;5;5
1075;7;8.14;1.86;10;5;9
1083;2;10;0;10;10;10
1116;1;6;NA;6;6;6
1129;4;4.75;1.5;6;3;5
1131;13;7.15;0.8;9;6;7
1155;1;6;NA;6;6;6
1161;2;5;0;5;5;5
1167;2;5;0;5;5;5
1211;2;8.5;0.71;9;8;8.5
1248;2;10;0;10;10;10
1261;2;7;1.41;8;6;7
1409;3;6.67;2.08;9;5;6
1412;4;9;0;9;9;9
1424;11;7;1;8;5;7
1435;11;6.73;2.49;10;4;5
1548;4;7.25;1.5;8;5;8
1558;3;8.67;1.53;10;7;9
1585;6;6.5;1.38;8;4;7
1608;2;9;1.41;10;8;9
1660;4;6;0.82;7;5;6
1674;4;8;2.45;10;5;8.5
1706;2;7.5;3.54;10;5;7.5
1733;5;8.2;2.17;10;5;9
1790;2;6.5;2.12;8;5;6.5
1805;3;7.67;1.15;9;7;7
1812;2;8;1.41;9;7;8
1848;7;8.71;1.89;10;5;10
1903;4;8;4;10;2;10
1928;1;10;NA;10;10;10
2012;6;6.83;2.86;10;2;8
2030;5;10;0;10;10;10
2033;16;8.94;1.53;10;5;9.5
2041;3;5.33;3.79;8;1;7
2103;1;9;NA;9;9;9
2110;7;8;2.16;10;5;9
2139;5;9.2;1.1;10;8;10
2179;6;9;0.89;10;8;9
2197;1;9;NA;9;9;9
2276;18;8.56;1.65;10;4;9
2287;5;6.2;0.84;7;5;6
2288;5;7.4;2.3;10;5;8
2313;4;7.5;1.91;9;5;8
2337;8;8;0.93;9;7;8
2358;1;8;NA;8;8;8
2411;1;3;NA;3;3;3
2437;1;9;NA;9;9;9
2439;1;10;NA;10;10;10
2766;14;7.79;1.31;10;5;8
2793;1;7;NA;7;7;7
2799;2;9;1.41;10;8;9
2855;1;8;NA;8;8;8
2891;13;7.69;0.95;9;6;8
2954;1;10;NA;10;10;10
2977;6;6.83;2.4;9;3;7.5
2996;1;7;NA;7;7;7
3106;1;10;NA;10;10;10
3145;7;8;1.53;9;5;9
3167;10;8.2;1.75;10;5;8.5
3192;2;7;0;7;7;7
3329;2;6.5;2.12;8;5;6.5
3331;5;8.4;2.51;10;4;9
3344;3;8;1;9;7;8
3346;6;8;2;10;5;9
3350;2;9;1.41;10;8;9
3363;9;8.89;1.17;10;7;9
3371;8;7.88;1.73;10;5;7.5
3373;12;6.33;1.87;10;3;6.5
