"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"000649840X";17;8.06;1.34;10;5;8
"002542730X";42;7.81;1.7;10;5;8
"006000438X";18;7.89;1.64;10;5;8
"006001203X";13;7.54;2.07;10;5;8
"006016848X";30;6.73;1.48;10;5;7
"006019491X";19;8.47;1.26;10;6;9
"006092988X";16;9.31;0.95;10;7;10
"006098824X";14;7.57;1.34;10;5;8
"006099486X";31;7.9;1.22;10;5;8
"006101351X";50;7.44;1.86;10;4;8
"006109868X";11;8.82;1.08;10;7;9
"006109921X";12;8.75;1.14;10;7;9
"014017737X";14;7.86;1.29;10;5;8
"014023313X";35;7.49;1.67;10;3;7
"014023828X";14;8;1.71;10;3;8
"014025448X";50;7.88;1.87;10;1;8
"014028009X";81;7.77;1.91;10;1;8
"014029628X";45;7.89;1.17;10;5;8
"014034294X";13;8.85;1.57;10;5;10
"014038572X";25;8;1.55;10;5;8
"014100018X";29;8.03;1.35;10;5;8
"014131088X";20;8.25;2;10;2;9
"015100692X";27;7.78;1.78;10;4;8
"015600710X";13;8.77;1.48;10;5;9
"015602943X";10;8.6;1.51;10;5;9
"031205436X";21;7.29;2;10;1;8
"031242227X";33;7.97;1.63;10;4;8
"031298328X";30;6.43;2.25;10;1;6
"034536676X";30;8.43;1.3;10;5;8.5
"034538184X";9;7.22;1.72;9;4;8
"034538430X";12;6.58;2.97;10;1;7
"034538475X";40;6.78;1.9;10;2;7
"034539657X";13;7.62;1.76;10;5;7
"034540288X";58;7.33;1.59;10;4;7
"034540761X";17;6.88;1.45;9;5;7
"034541389X";30;7.63;1.59;10;5;7.5
"034543479X";18;7.56;1.5;10;4;7.5
"034545104X";14;6.29;2.09;9;3;6
"037541309X";13;8.46;0.78;10;7;8
"037570485X";8;7.75;1.16;9;6;7.5
"037570504X";22;6.86;1.81;10;3;7
"037570910X";9;7.33;2.35;10;3;7
"037582233X";16;8.5;1.21;10;6;8.5
"038000321X";13;8.54;1.05;10;7;8
"038001503X";7;9.14;1.57;10;6;10
"038079487X";49;7.35;1.47;10;5;8
"038082101X";29;7.48;1.6;10;4;8
"038529929X";30;7.3;2.31;10;3;8
"038531258X";15;8.47;1.3;10;5;9
"038531292X";11;6.27;2.1;10;3;6
"038531700X";6;8.83;1.17;10;7;9
"038533334X";24;7.29;1.6;10;4;7.5
"038533348X";13;8.62;1.19;10;6;9
"038533558X";14;8.86;0.86;10;8;9
"038533656X";13;6.23;1.92;9;3;6
"038542017X";29;7.83;1.75;10;2;8
"038542471X";24;7.79;1.1;10;6;8
"038548951X";22;9;0.82;10;8;9
"038549081X";30;8.53;1.33;10;6;9
"038550120X";39;7.49;1.94;10;1;8
"038550926X";31;7.26;1.63;10;4;7
"038572179X";27;7.52;1.83;10;3;8
"039304016X";12;8.33;1.15;10;7;8
"039480001X";18;9.17;1.47;10;5;10
"039592720X";31;8.48;1.48;10;4;9
"039914465X";14;6.36;1.78;9;2;6.5
"039914563X";9;7;1.8;9;5;7
"039914613X";13;7.62;1.76;10;5;8
"039914739X";10;5.1;1.97;8;2;5
"039914840X";12;8;1.71;10;5;8
"039915079X";12;7.17;1.47;10;5;7
"042510107X";26;7.58;1.94;10;3;8
"042510687X";15;7.27;1.49;10;5;8
"042511774X";18;8;1.57;10;5;8
"042513525X";23;7.78;1.57;10;5;8
"042513699X";15;7.6;1.5;10;5;8
"042516098X";31;6.68;1.85;9;1;7
"042517736X";15;6.47;1.85;10;2;7
