"User.ID";"nb.Ratings";"mean";"sd";"max";"min";"med"
99;1;3;NA;3;3;3
114;3;9.33;0.58;10;9;9
242;1;10;NA;10;10;10
243;8;8.38;1.51;10;6;9
244;5;7.8;1.3;9;6;8
254;13;8.54;0.78;9;7;9
383;1;5;NA;5;5;5
388;4;5.75;1.89;7;3;6.5
424;2;6.5;0.71;7;6;6.5
487;1;6;NA;6;6;6
503;3;10;0;10;10;10
505;2;7;0;7;7;7
507;5;7.4;0.89;9;7;7
566;1;2;NA;2;2;2
567;1;10;NA;10;10;10
595;3;9.33;0.58;10;9;9
638;16;9.62;0.81;10;7;10
643;2;5;4.24;8;2;5
651;2;7;1.41;8;6;7
709;2;6.5;4.95;10;3;6.5
735;2;6.5;3.54;9;4;6.5
805;10;9.1;1.1;10;7;9.5
834;1;7;NA;7;7;7
853;1;8;NA;8;8;8
882;12;8.5;2.32;10;4;10
900;1;9;NA;9;9;9
901;2;9;0;9;9;9
929;3;7.33;1.15;8;6;8
1025;7;8.14;1.46;9;5;9
1063;1;5;NA;5;5;5
1075;6;7.83;1.83;10;5;8
1083;1;7;NA;7;7;7
1116;1;6;NA;6;6;6
1129;3;5.67;1.53;7;4;6
1131;11;6.82;0.75;8;5;7
1155;1;6;NA;6;6;6
1161;2;5;0;5;5;5
1167;3;7.33;2.08;9;5;8
1211;2;8.5;0.71;9;8;8.5
1248;1;10;NA;10;10;10
1261;4;7.25;0.96;8;6;7.5
1409;3;6.33;1.53;8;5;6
1412;4;9;0;9;9;9
1424;10;7;1.05;8;5;7
1435;13;6.77;2.49;10;4;5
1548;5;7.4;1.34;8;5;8
1558;2;8.5;2.12;10;7;8.5
1585;7;6.43;1.27;8;4;7
1608;1;8;NA;8;8;8
1660;4;6;0.82;7;5;6
1674;3;8;1.73;10;7;7
1688;1;5;NA;5;5;5
1706;2;7.5;3.54;10;5;7.5
1733;7;6.71;3.3;10;1;7
1790;1;5;NA;5;5;5
1805;3;7.67;1.15;9;7;7
1812;1;9;NA;9;9;9
1848;8;8.5;1.69;10;5;8.5
1903;3;7.33;4.62;10;2;10
1928;1;10;NA;10;10;10
2010;1;10;NA;10;10;10
2012;6;6.83;2.86;10;2;8
2030;5;10;0;10;10;10
2033;15;8.93;1.58;10;5;10
2041;2;4.5;4.95;8;1;4.5
2103;1;9;NA;9;9;9
2110;6;8.33;1.97;10;5;9
2139;6;8.83;1.33;10;7;9
2179;6;8.83;0.75;10;8;9
2276;12;8.33;1.97;10;4;9
2287;4;6;0.82;7;5;6
2288;4;7;2.45;10;5;6.5
2313;6;7;2.53;9;3;8
2337;7;7.86;0.9;9;7;8
2399;1;9;NA;9;9;9
2411;1;3;NA;3;3;3
2437;2;8;1.41;9;7;8
2439;1;10;NA;10;10;10
2766;15;7.53;1.41;10;5;7
2793;2;6.5;0.71;7;6;6.5
2799;1;10;NA;10;10;10
2855;2;6.5;2.12;8;5;6.5
2891;11;7.36;1.03;9;5;7
2954;1;10;NA;10;10;10
2977;3;8.33;1.15;9;7;9
2996;1;7;NA;7;7;7
3017;1;8;NA;8;8;8
3145;7;8.14;1.46;9;5;9
3167;8;8.12;1.73;10;5;8.5
3192;3;7;0;7;7;7
3329;2;6.5;2.12;8;5;6.5
3331;3;7.33;2.89;9;4;9
3344;1;7;NA;7;7;7
3346;5;8.6;1.52;10;6;9
3350;3;8;2;10;6;8
3363;13;9.23;1.09;10;7;10
3371;9;8.33;1.73;10;5;9
3373;14;6.14;1.79;10;3;5.5
3374;2;8;0;8;8;8
3467;3;8.67;0.58;9;8;9
3556;6;9.83;0.41;10;9;10
3569;2;6.5;0.71;7;6;6.5
3578;2;10;0;10;10;10
3594;2;7.5;0.71;8;7;7.5
3640;1;5;NA;5;5;5
3669;2;9.5;0.71;10;9;9.5
3675;1;10;NA;10;10;10
3693;1;8;NA;8;8;8
3719;3;7.67;1.15;9;7;7
3814;2;6;1.41;7;5;6
3817;5;8.4;1.14;10;7;8
3827;12;8;1.21;10;6;8
3840;2;9;1.41;10;8;9
3917;5;7.2;1.79;10;5;7
3923;5;6;1;7;5;6
3965;1;9;NA;9;9;9
4017;41;9.1;1.45;10;5;10
4066;1;7;NA;7;7;7
4090;1;8;NA;8;8;8
4091;2;8;0;8;8;8
4092;1;7;NA;7;7;7
4098;1;7;NA;7;7;7
4114;1;8;NA;8;8;8
4131;2;5;5.66;9;1;5
4149;2;2.5;2.12;4;1;2.5
4157;4;8.5;1.29;10;7;8.5
4164;1;7;NA;7;7;7
4197;1;9;NA;9;9;9
4221;5;8.2;1.3;9;6;9
