"User.ID";"nb.Ratings";"mean";"sd";"max";"min";"med"
99;2;6.5;4.95;10;3;6.5
114;2;9;0;9;9;9
242;1;10;NA;10;10;10
243;12;7.58;1.56;10;5;7
244;5;7.4;1.34;9;6;8
254;14;8.5;0.85;10;7;9
383;1;5;NA;5;5;5
388;5;6.6;2.51;10;3;7
424;3;7;1;8;6;7
446;2;5.5;3.54;8;3;5.5
487;3;6.67;0.58;7;6;7
503;3;10;0;10;10;10
505;2;7;0;7;7;7
507;6;7.83;1.33;10;7;7
566;1;2;NA;2;2;2
567;1;10;NA;10;10;10
595;3;9.33;0.58;10;9;9
638;21;9.33;0.91;10;7;10
643;3;7.67;0.58;8;7;8
651;2;7;1.41;8;6;7
709;2;5;2.83;7;3;5
735;1;9;NA;9;9;9
805;11;8.55;1.13;10;7;8
853;1;8;NA;8;8;8
882;13;8.54;2.22;10;4;10
900;1;9;NA;9;9;9
901;2;9;0;9;9;9
929;4;8;1.63;10;6;8
1025;6;8.33;1.75;10;5;9
1063;1;5;NA;5;5;5
1075;8;8;1.77;10;5;8
1083;3;9;1.73;10;7;10
1116;1;6;NA;6;6;6
1129;4;5;1.83;7;3;5
1131;12;7;1.04;9;5;7
1155;1;6;NA;6;6;6
1161;1;5;NA;5;5;5
1167;4;6.75;2.06;9;5;6.5
1211;1;9;NA;9;9;9
1248;2;10;0;10;10;10
1261;3;7.67;0.58;8;7;8
1409;2;8.5;0.71;9;8;8.5
1412;2;9;0;9;9;9
1424;9;7.11;1.05;8;5;7
1435;12;7;2.45;10;4;6
1548;4;8;0;8;8;8
1558;2;9.5;0.71;10;9;9.5
1585;6;6.33;1.37;8;4;6.5
1608;2;9;1.41;10;8;9
1660;4;6;0.82;7;5;6
1674;4;7.25;2.06;10;5;7
1688;1;5;NA;5;5;5
1706;2;7.5;3.54;10;5;7.5
1733;4;4.5;2.52;7;1;5
1790;1;8;NA;8;8;8
1812;2;8;1.41;9;7;8
1848;9;8.67;1.66;10;5;9
1903;4;8;4;10;2;10
1928;1;10;NA;10;10;10
2010;1;10;NA;10;10;10
2012;3;7.67;2.52;10;5;8
2030;2;10;0;10;10;10
2033;15;9.13;1.41;10;6;10
2041;2;7.5;0.71;8;7;7.5
2103;1;9;NA;9;9;9
2110;5;8;2.12;10;5;8
2139;4;8.75;1.5;10;7;9
2179;5;8.8;0.84;10;8;9
2197;1;9;NA;9;9;9
2276;18;8.61;1.65;10;4;9
2287;3;6.33;0.58;7;6;6
2288;3;6.33;2.31;9;5;5
2313;7;6.71;2.43;9;3;7
2337;6;8;0.89;9;7;8
2358;1;8;NA;8;8;8
2399;1;9;NA;9;9;9
2411;1;3;NA;3;3;3
2437;3;8.33;1.15;9;7;9
2439;1;10;NA;10;10;10
2766;20;7.8;1.2;10;6;8
2793;1;6;NA;6;6;6
2799;2;9;1.41;10;8;9
2855;2;6.5;2.12;8;5;6.5
2891;15;7.4;1.12;9;5;7
2977;5;6.8;2.68;9;3;8
2996;1;7;NA;7;7;7
3017;1;8;NA;8;8;8
3106;1;10;NA;10;10;10
3145;7;7.86;1.46;9;5;8
3167;10;8;1.76;10;5;8
3192;2;7;0;7;7;7
3329;2;6.5;2.12;8;5;6.5
3331;4;8.25;2.87;10;4;9.5
3344;3;8;1;9;7;8
3346;6;8;2;10;5;9
3350;3;7.33;1.15;8;6;8
3363;10;9.2;1.14;10;7;10
3371;9;7.78;1.64;10;5;7
3373;10;6.8;1.62;10;5;7
3374;2;8;0;8;8;8
3467;1;9;NA;9;9;9
3556;5;9.8;0.45;10;9;10
3569;2;6.5;0.71;7;6;6.5
3578;3;9.67;0.58;10;9;10
3594;2;7.5;0.71;8;7;7.5
3640;4;6.75;1.5;8;5;7
3669;2;9.5;0.71;10;9;9.5
3693;1;8;NA;8;8;8
3719;3;8;1;9;7;8
3814;3;5.33;1.53;7;4;5
3817;4;7.75;1.71;10;6;7.5
3827;10;8.4;1.35;10;6;8
3840;4;9.25;0.96;10;8;9.5
3917;6;7.33;1.63;10;5;7
3923;4;6;0.82;7;5;6
3965;1;9;NA;9;9;9
4017;44;9.07;1.4;10;5;10
4066;1;7;NA;7;7;7
4091;2;8;0;8;8;8
4092;2;6.5;0.71;7;6;6.5
4098;2;5;2.83;7;3;5
4114;1;8;NA;8;8;8
4131;3;6;4.36;9;1;8
4138;1;8;NA;8;8;8
4149;3;4.67;4.04;9;1;4
4157;4;8.5;1.29;10;7;8.5
4164;1;7;NA;7;7;7
4197;1;9;NA;9;9;9
4221;6;8.17;1.17;9;6;8.5
4223;1;7;NA;7;7;7
4334;3;7;1;8;6;7
4365;3;8.33;2.89;10;5;10
4483;1;8;NA;8;8;8
4570;1;8;NA;8;8;8
4571;3;7.67;1.53;9;6;8
4600;1;10;NA;10;10;10
4622;5;8;2.45;10;4;8
4785;3;6;1;7;5;6
4795;6;9;0.63;10;8;9
4802;2;8;1.41;9;7;8
4809;4;8;0.82;9;7;8
4938;7;8.43;1.13;10;7;8
5037;7;6.86;2.61;10;3;8
5048;2;10;0;10;10;10
5163;3;5;0;5;5;5
5207;2;8;0;8;8;8
5209;1;9;NA;9;9;9
5286;2;8.5;2.12;10;7;8.5
5333;4;7.5;1;9;7;7
5375;1;8;NA;8;8;8
5385;2;6.5;4.95;10;3;6.5
5439;4;8.75;0.96;10;8;8.5
5448;2;7.5;2.12;9;6;7.5
5476;11;6.09;2.59;10;1;7
5490;1;7;NA;7;7;7
5499;2;10;0;10;10;10
5539;9;8;1.94;10;5;8
5555;1;9;NA;9;9;9
5582;21;8.95;1.47;10;5;10
5609;3;8.67;1.53;10;7;9
5638;2;9;0;9;9;9
5665;3;8.33;1.53;10;7;8
5709;1;8;NA;8;8;8
5722;3;6.67;1.53;8;5;7
5728;4;8;1.41;9;6;8.5
5741;2;8.5;0.71;9;8;8.5
5746;1;7;NA;7;7;7
5815;4;7.5;2.08;10;5;7.5
5899;2;8.5;0.71;9;8;8.5
5903;6;8.5;0.55;9;8;8.5
5932;1;5;NA;5;5;5
5942;2;4.5;3.54;7;2;4.5
5963;3;6;1;7;5;6
5998;2;6.5;2.12;8;5;6.5
6073;13;9.08;1.38;10;5;9
6102;4;7.25;2.22;9;4;8
6112;2;6;1.41;7;5;6
6115;5;10;0;10;10;10
6238;7;9;1.15;10;7;9
6242;26;6.31;1.16;8;5;6
6249;1;10;NA;10;10;10
6251;36;8.61;1.52;10;4;9
6280;2;9;0;9;9;9
6323;12;5.5;2.39;9;1;6
6333;1;7;NA;7;7;7
6345;2;10;0;10;10;10
6347;1;7;NA;7;7;7
6398;1;4;NA;4;4;4
6431;3;10;0;10;10;10
6532;5;8;1;9;7;8
6537;6;6.83;1.6;8;4;7.5
6543;28;7.86;1.33;10;5;8
6563;32;7.94;1.81;10;3;8
6566;6;7.17;1.47;9;5;7.5
6575;77;7.4;1.66;10;2;8
6577;8;7.5;2;10;5;7
6582;1;5;NA;5;5;5
6611;5;9.6;0.55;10;9;10
6662;1;8;NA;8;8;8
6671;2;4.5;0.71;5;4;4.5
6679;3;8.67;1.53;10;7;9
6769;2;8;1.41;9;7;8
6772;8;6.88;1.13;8;5;7
6781;2;7.5;0.71;8;7;7.5
6789;5;7.2;2.68;10;3;7
6840;2;7.5;2.12;9;6;7.5
6871;2;4;0;4;4;4
6894;1;10;NA;10;10;10
6958;3;6.33;1.15;7;5;7
7056;3;6.67;1.53;8;5;7
7072;1;7;NA;7;7;7
7079;2;9.5;0.71;10;9;9.5
7082;6;7.17;1.72;9;5;8
7105;3;7.67;2.08;10;6;7
